,CenYear,WgtVar,EthStd,DatSrce,VExposVar,ByVr,AgeGp,EventCode,SSex,VExposVal,MidDate,MthsExcl,MthsFoll,StdRate,SRCI95Low,SRCI95Upp,StdRateRatio,SRRCI95Low,SRRCI95Upp,StdRateDiff,SRDCI95Low,SRDCI95Upp
1,1981,W_AGETHADJ,Y,1,All Exposures,Overall,1-74 yrs,Cardiovascular Disease (all) Mortality,Males,All Data,1982.75,0,36,287.5,279.1,295.8,1,0.9599,1.0418,0,-11.8,11.8
2,1986,W_AGETHADJ,Y,1,All Exposures,Overall,1-74 yrs,Cardiovascular Disease (all) Mortality,Males,All Data,1987.75,0,36,249.8,242.4,257.2,1,0.9591,1.0426,0,-10.4,10.4
3,1991,W_AGETHADJ,Y,1,All Exposures,Overall,1-74 yrs,Cardiovascular Disease (all) Mortality,Males,All Data,1992.75,0,36,208,201.6,214.3,1,0.9575,1.0444,0,-9,9
4,1996,W_AGETHADJ,Y,1,All Exposures,Overall,1-74 yrs,Cardiovascular Disease (all) Mortality,Males,All Data,1997.75,0,36,163.6,158.6,168.5,1,0.9581,1.0437,0,-7,7
5,2001,W_AGETHADJ,Y,1,All Exposures,Overall,1-74 yrs,Cardiovascular Disease (all) Mortality,Males,All Data,2003.75,0,60,131.7,128.2,135.2,1,0.9634,1.038,0,-4.9,4.9
6,2006,W_AGETHADJ,Y,1,All Exposures,Overall,1-74 yrs,Cardiovascular Disease (all) Mortality,Males,All Data,2008.75,0,60,98.6,95.7,101.4,1,0.9598,1.0419,0,-4,4
7,1981,W_AGETHADJ,Y,1,All Exposures,Overall,1-74 yrs,Cardiovascular Disease (all) Mortality,Females,All Data,1982.75,0,36,144.8,138.7,150.9,1,0.942,1.0616,0,-8.7,8.7
8,1986,W_AGETHADJ,Y,1,All Exposures,Overall,1-74 yrs,Cardiovascular Disease (all) Mortality,Females,All Data,1987.75,0,36,120.8,115.6,126,1,0.9408,1.063,0,-7.4,7.4
9,1991,W_AGETHADJ,Y,1,All Exposures,Overall,1-74 yrs,Cardiovascular Disease (all) Mortality,Females,All Data,1992.75,0,36,97.7,93.3,102,1,0.9393,1.0646,0,-6.1,6.1
10,1996,W_AGETHADJ,Y,1,All Exposures,Overall,1-74 yrs,Cardiovascular Disease (all) Mortality,Females,All Data,1997.75,0,36,75.6,72.2,78.9,1,0.9389,1.0651,0,-4.8,4.8
11,2001,W_AGETHADJ,Y,1,All Exposures,Overall,1-74 yrs,Cardiovascular Disease (all) Mortality,Females,All Data,2003.75,0,60,64.7,62.3,67.1,1,0.9493,1.0535,0,-3.4,3.4
12,2006,W_AGETHADJ,Y,1,All Exposures,Overall,1-74 yrs,Cardiovascular Disease (all) Mortality,Females,All Data,2008.75,0,60,46.4,44.5,48.3,1,0.9447,1.0586,0,-2.6,2.6
13,1981,W_AGETHADJ,Y,1,All Exposures,Overall,1-74 yrs,Cancer (all) Mortality,Males,All Data,1982.75,0,36,156,149.9,162,1,0.9468,1.0562,0,-8.5,8.5
14,1986,W_AGETHADJ,Y,1,All Exposures,Overall,1-74 yrs,Cancer (all) Mortality,Males,All Data,1987.75,0,36,153.2,147.8,158.6,1,0.9511,1.0514,0,-7.7,7.7
15,1991,W_AGETHADJ,Y,1,All Exposures,Overall,1-74 yrs,Cancer (all) Mortality,Males,All Data,1992.75,0,36,152,146.9,157.2,1,0.9532,1.0491,0,-7.3,7.3
16,1996,W_AGETHADJ,Y,1,All Exposures,Overall,1-74 yrs,Cancer (all) Mortality,Males,All Data,1997.75,0,36,144,139.6,148.4,1,0.9577,1.0441,0,-6.2,6.2
17,2001,W_AGETHADJ,Y,1,All Exposures,Overall,1-74 yrs,Cancer (all) Mortality,Males,All Data,2003.75,0,60,144.7,141.3,148.2,1,0.9667,1.0344,0,-4.9,4.9
18,2006,W_AGETHADJ,Y,1,All Exposures,Overall,1-74 yrs,Cancer (all) Mortality,Males,All Data,2008.75,0,60,125.2,122.2,128.2,1,0.9666,1.0345,0,-4.3,4.3
19,1981,W_AGETHADJ,Y,1,All Exposures,Overall,1-74 yrs,Cancer (all) Mortality,Females,All Data,1982.75,0,36,118.6,113.7,123.5,1,0.9432,1.0603,0,-6.9,6.9
20,1986,W_AGETHADJ,Y,1,All Exposures,Overall,1-74 yrs,Cancer (all) Mortality,Females,All Data,1987.75,0,36,118.8,114.3,123.2,1,0.9482,1.0546,0,-6.3,6.3
21,1991,W_AGETHADJ,Y,1,All Exposures,Overall,1-74 yrs,Cancer (all) Mortality,Females,All Data,1992.75,0,36,117,113,121,1,0.9528,1.0495,0,-5.7,5.7
22,1996,W_AGETHADJ,Y,1,All Exposures,Overall,1-74 yrs,Cancer (all) Mortality,Females,All Data,1997.75,0,36,119.3,115.5,123.2,1,0.9555,1.0466,0,-5.4,5.4
23,2001,W_AGETHADJ,Y,1,All Exposures,Overall,1-74 yrs,Cancer (all) Mortality,Females,All Data,2003.75,0,60,116.8,113.9,119.7,1,0.9656,1.0356,0,-4.1,4.1
24,2006,W_AGETHADJ,Y,1,All Exposures,Overall,1-74 yrs,Cancer (all) Mortality,Females,All Data,2008.75,0,60,107.7,105.1,110.2,1,0.967,1.0341,0,-3.6,3.6
25,1981,W_AGETHADJ,Y,1,All Exposures,Overall,1-74 yrs,Respiratory (all) Mortality,Males,All Data,1982.75,0,36,41.6,37.8,45.3,1,0.8803,1.1359,0,-5.3,5.3
26,1986,W_AGETHADJ,Y,1,All Exposures,Overall,1-74 yrs,Respiratory (all) Mortality,Males,All Data,1987.75,0,36,34.9,31.8,38,1,0.8815,1.1344,0,-4.4,4.4
