DateTime,Price per pack of 25 ($)
1/03/2009,13.43
1/06/2009,13.43
1/09/2009,13.32
1/12/2009,13.28
1/03/2010,13.46
1/06/2010,14.31
1/09/2010,14.73
1/12/2010,15.02
1/03/2011,16.39
1/06/2011,16.39
1/09/2011,16.39
1/12/2011,16.39
1/03/2012,18.46
1/06/2012,18.46
1/09/2012,18.46
1/12/2012,18.46
1/03/2013,20.79
1/06/2013,20.79
1/09/2013,20.79
1/12/2013,20.79
1/03/2014,22.88
1/06/2014,22.86
1/09/2014,23.25
1/12/2014,23.3
1/03/2015,26.42
1/06/2015,26.42
1/09/2015,26.43
1/12/2015,26.43
1/03/2016,28.79
1/06/2016,28.8
1/09/2016,28.81
1/12/2016,28.82
1/03/2017,31.6
1/06/2017,31.63
1/09/2017,31.69
1/12/2017,31.68
1/03/2018,35.14
1/06/2018,35.19
1/09/2018,35.17
1/12/2018,34.57
1/03/2019,37.48
