"ID","ContinentCode","CountryCode","Year","GenderCode","M_Est_tob_curr_std","WHOSIS_000001","NCDMORT3070","R_Price_lowest_cost_estimate","R_Price_premium_estimate","R_Price_mp_estimate","R_total_tax_estimate"
"BDI2000B","AFR","BDI",2000,"BTSX",24,43.78,36.8,NA,NA,NA,NA
"BDI2000F","AFR","BDI",2000,"FMLE",16.4,45.85,35.47,NA,NA,NA,NA
"BDI2000M","AFR","BDI",2000,"MLE",31.5,41.79,38.51,NA,NA,NA,NA
"BDI2005B","AFR","BDI",2005,"BTSX",19.8,NA,31.61,NA,NA,NA,NA
"BDI2005F","AFR","BDI",2005,"FMLE",12.7,NA,30.55,NA,NA,NA,NA
"BDI2005M","AFR","BDI",2005,"MLE",26.9,NA,33.06,NA,NA,NA,NA
"BDI2010B","AFR","BDI",2010,"BTSX",16.6,58.6,27.92,NA,NA,"800","0.56"
"BDI2010F","AFR","BDI",2010,"FMLE",9.9,60.32,26.42,NA,NA,NA,NA
"BDI2010M","AFR","BDI",2010,"MLE",23.3,56.86,29.78,NA,NA,NA,NA
"BDI2015B","AFR","BDI",2015,"BTSX",13.9,62.05,25.82,NA,NA,NA,NA
"BDI2015F","AFR","BDI",2015,"FMLE",7.8,64.26,24.26,NA,NA,NA,NA
"BDI2015M","AFR","BDI",2015,"MLE",20,59.84,27.61,NA,NA,NA,NA
"BDI2018B","AFR","BDI",2018,"BTSX",12.2,NA,25.15,NA,NA,"1600","0.43"
"BDI2018F","AFR","BDI",2018,"FMLE",6.7,NA,23.35,NA,NA,NA,NA
"BDI2018M","AFR","BDI",2018,"MLE",18.4,NA,27.13,NA,NA,NA,NA
"BDI2019B","AFR","BDI",2019,"BTSX",12.2,63.84,24.97,NA,NA,NA,NA
"BDI2019F","AFR","BDI",2019,"FMLE",6.4,66.14,23.22,NA,NA,NA,NA
"BDI2019M","AFR","BDI",2019,"MLE",18,61.55,26.89,NA,NA,NA,NA
"BDI2020B","AFR","BDI",2020,"BTSX",11.8,NA,NA,"2000",NA,"2000","0.37"
"BDI2020F","AFR","BDI",2020,"FMLE",6.1,NA,NA,NA,NA,NA,NA
"BDI2020M","AFR","BDI",2020,"MLE",17.4,NA,NA,NA,NA,NA,NA
"BDI2023B","AFR","BDI",2023,"BTSX",NA,NA,NA,NA,NA,NA,NA
"BDI2023F","AFR","BDI",2023,"FMLE",NA,NA,NA,NA,NA,NA,NA
"BDI2023M","AFR","BDI",2023,"MLE",NA,NA,NA,NA,NA,NA,NA
"BDI2025B","AFR","BDI",2025,"BTSX",9.9,NA,NA,NA,NA,NA,NA
"BDI2025F","AFR","BDI",2025,"FMLE",4.8,NA,NA,NA,NA,NA,NA
"BDI2025M","AFR","BDI",2025,"MLE",15,NA,NA,NA,NA,NA,NA
"BEN2000B","AFR","BEN",2000,"BTSX",16.7,56.59,25.32,NA,NA,NA,NA
"BEN2000F","AFR","BEN",2000,"FMLE",5.1,58.77,22.8,NA,NA,NA,NA
