Record Date,Country,Currency,Country - Currency Description,Exchange Rate,Effective Date,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2020-12-31,Afghanistan,Afghani,Afghanistan-Afghani,77.09,2020-12-31,1,2021,1,2020,4,12,31
2020-12-31,Albania,Lek,Albania-Lek,100.35,2020-12-31,2,2021,1,2020,4,12,31
2020-12-31,Algeria,Dinar,Algeria-Dinar,132.212,2020-12-31,3,2021,1,2020,4,12,31
2020-12-31,Angola,Kwanza,Angola-Kwanza,649.6,2020-12-31,4,2021,1,2020,4,12,31
2020-12-31,Antigua & Barbuda,E. Caribbean Dollar,Antigua & Barbuda-E. Caribbean Dollar,2.7,2020-12-31,5,2021,1,2020,4,12,31
2020-12-31,Argentina,Peso,Argentina-Peso,89.25,2020-12-31,6,2021,1,2020,4,12,31
2020-12-31,Armenia,Dram,Armenia-Dram,515.0,2020-12-31,7,2021,1,2020,4,12,31
2020-12-31,Australia,Dollar,Australia-Dollar,1.294,2020-12-31,8,2021,1,2020,4,12,31
2020-12-31,Azerbaijan,Manat,Azerbaijan-Manat,1.7,2020-12-31,9,2021,1,2020,4,12,31
2020-12-31,Bahamas,Dollar,Bahamas-Dollar,1.0,2020-12-31,10,2021,1,2020,4,12,31
2020-12-31,Bahrain,Dinar,Bahrain-Dinar,0.377,2020-12-31,11,2021,1,2020,4,12,31
2020-12-31,Bangladesh,Taka,Bangladesh-Taka,85.0,2020-12-31,12,2021,1,2020,4,12,31
2020-12-31,Barbados,Dollar,Barbados-Dollar,2.02,2020-12-31,13,2021,1,2020,4,12,31
2020-12-31,Belarus,New Ruble,Belarus-New Ruble,2.598,2020-12-31,14,2021,1,2020,4,12,31
2020-12-31,Belize,Dollar,Belize-Dollar,2.0,2020-12-31,15,2021,1,2020,4,12,31
2020-12-31,Benin,CFA Franc,Benin-CFA Franc,529.0,2020-12-31,16,2021,1,2020,4,12,31
2020-12-31,Bermuda,Dollar,Bermuda-Dollar,1.0,2020-12-31,17,2021,1,2020,4,12,31
2020-12-31,Bolivia,Boliviano,Bolivia-Boliviano,6.81,2020-12-31,18,2021,1,2020,4,12,31
2020-12-31,Bosnia,Marka,Bosnia-Marka,1.594,2020-12-31,19,2021,1,2020,4,12,31
2020-12-31,Botswana,Pula,Botswana-Pula,10.799,2020-12-31,20,2021,1,2020,4,12,31
2020-12-31,Brazil,Real,Brazil-Real,5.194,2020-12-31,21,2021,1,2020,4,12,31
2020-12-31,Brunei,Dollar,Brunei-Dollar,1.322,2020-12-31,22,2021,1,2020,4,12,31
2020-12-31,Bulgaria,Lev New,Bulgaria-Lev New,1.594,2020-12-31,23,2021,1,2020,4,12,31
2020-12-31,Burkina Faso,CFA Franc,Burkina Faso-CFA Franc,529.0,2020-12-31,24,2021,1,2020,4,12,31
2020-12-31,Burma,Kyat,Burma-Kyat,1326.0,2020-12-31,25,2021,1,2020,4,12,31
2020-12-31,Burundi,Franc,Burundi-Franc,1930.61,2020-12-31,26,2021,1,2020,4,12,31
2020-12-31,Cambodia,Riel,Cambodia-Riel,4051.0,2020-12-31,27,2021,1,2020,4,12,31
2020-12-31,Cameroon,CFA Franc,Cameroon-CFA Franc,529.26,2020-12-31,28,2021,1,2020,4,12,31
2020-12-31,Canada,Dollar,Canada-Dollar,1.275,2020-12-31,29,2021,1,2020,4,12,31
2020-12-31,Cape Verde,Escudo,Cape Verde-Escudo,89.83,2020-12-31,30,2021,1,2020,4,12,31
2020-12-31,Cayman Island,Dollar,Cayman Island-Dollar,0.82,2020-12-31,31,2021,1,2020,4,12,31
2020-12-31,Central African Rep.,CFA Franc,Central African Rep.-CFA Franc,529.26,2020-12-31,32,2021,1,2020,4,12,31
2020-12-31,Chad,CFA Franc,Chad-CFA Franc,529.26,2020-12-31,33,2021,1,2020,4,12,31
