"CountryCode","GenderCode","LifeExpectancy","LowestPricEstTobacco","MediumPriceEstTobacco","Mortality","PremiumPricEstTobacco","TobaccoPrevalence","TotalTax"
"AFG","BTSX",4,1,7,20,1,8,7
"AFG","FMLE",4,0,0,20,0,8,0
"AFG","MLE",4,0,0,20,0,8,0
"AGO","BTSX",4,1,5,20,1,0,5
"AGO","FMLE",4,0,0,20,0,0,0
"AGO","MLE",4,0,0,20,0,0,0
"ALB","BTSX",4,1,7,20,1,8,7
"ALB","FMLE",4,0,0,20,0,8,0
"ALB","MLE",4,0,0,20,0,8,0
"AND","BTSX",0,1,6,0,1,8,6
"AND","FMLE",0,0,0,0,0,8,0
"AND","MLE",0,0,0,0,0,8,0
"ARE","BTSX",4,1,7,20,1,0,7
"ARE","FMLE",4,0,0,20,0,0,0
"ARE","MLE",4,0,0,20,0,0,0
"ARG","BTSX",4,1,7,20,1,8,7
"ARG","FMLE",4,0,0,20,0,8,0
"ARG","MLE",4,0,0,20,0,8,0
"ARM","BTSX",4,1,7,20,1,8,7
"ARM","FMLE",4,0,0,20,0,8,0
"ARM","MLE",4,0,0,20,0,8,0
"ATG","BTSX",4,1,7,20,1,0,7
"ATG","FMLE",4,0,0,20,0,0,0
"ATG","MLE",4,0,0,20,0,0,0
"AUS","BTSX",4,1,7,20,1,8,7
"AUS","FMLE",4,0,0,20,0,8,0
"AUS","MLE",4,0,0,20,0,8,0
"AUT","BTSX",4,1,7,20,1,8,7
"AUT","FMLE",4,0,0,20,0,8,0
"AUT","MLE",4,0,0,20,0,8,0
"AZE","BTSX",4,1,7,20,1,8,7
"AZE","FMLE",4,0,0,20,0,8,0
"AZE","MLE",4,0,0,20,0,8,0
"BDI","BTSX",4,1,7,20,0,8,7
"BDI","FMLE",4,0,0,20,0,8,0
"BDI","MLE",4,0,0,20,0,8,0
"BEL","BTSX",4,1,7,20,1,8,7
"BEL","FMLE",4,0,0,20,0,8,0
"BEL","MLE",4,0,0,20,0,8,0
"BEN","BTSX",4,1,7,20,1,8,7
"BEN","FMLE",4,0,0,20,0,8,0
"BEN","MLE",4,0,0,20,0,8,0
"BFA","BTSX",4,1,7,20,1,8,7
"BFA","FMLE",4,0,0,20,0,8,0
"BFA","MLE",4,0,0,20,0,8,0
"BGD","BTSX",4,1,7,20,1,8,7
"BGD","FMLE",4,0,0,20,0,8,0
"BGD","MLE",4,0,0,20,0,8,0
"BGR","BTSX",4,1,7,20,1,8,7
"BGR","FMLE",4,0,0,20,0,8,0
"BGR","MLE",4,0,0,20,0,8,0
"BHR","BTSX",4,1,7,20,1,8,7
"BHR","FMLE",4,0,0,20,0,8,0
"BHR","MLE",4,0,0,20,0,8,0
"BHS","BTSX",4,1,6,20,1,8,6
"BHS","FMLE",4,0,0,20,0,8,0
"BHS","MLE",4,0,0,20,0,8,0
"BIH","BTSX",4,1,7,20,1,8,7
"BIH","FMLE",4,0,0,20,0,8,0
"BIH","MLE",4,0,0,20,0,8,0
"BLR","BTSX",4,1,7,20,1,8,7
"BLR","FMLE",4,0,0,20,0,8,0
"BLR","MLE",4,0,0,20,0,8,0
"BLZ","BTSX",4,1,7,20,1,8,7
"BLZ","FMLE",4,0,0,20,0,8,0
"BLZ","MLE",4,0,0,20,0,8,0
"BOL","BTSX",4,1,7,20,0,8,7
"BOL","FMLE",4,0,0,20,0,8,0
"BOL","MLE",4,0,0,20,0,8,0
"BRA","BTSX",4,1,7,20,1,8,7
"BRA","FMLE",4,0,0,20,0,8,0
"BRA","MLE",4,0,0,20,0,8,0
"BRB","BTSX",4,0,6,20,0,8,6
"BRB","FMLE",4,0,0,20,0,8,0
"BRB","MLE",4,0,0,20,0,8,0
"BRN","BTSX",4,1,3,20,1,8,3
"BRN","FMLE",4,0,0,20,0,8,0
"BRN","MLE",4,0,0,20,0,8,0
"BTN","BTSX",4,0,1,20,0,0,1
"BTN","FMLE",4,0,0,20,0,0,0
"BTN","MLE",4,0,0,20,0,0,0
"BWA","BTSX",4,0,7,20,1,8,7
"BWA","FMLE",4,0,0,20,0,8,0
"BWA","MLE",4,0,0,20,0,8,0
"CAF","BTSX",4,0,4,20,0,0,4
"CAF","FMLE",4,0,0,20,0,0,0
"CAF","MLE",4,0,0,20,0,0,0
"CAN","BTSX",4,1,7,20,1,8,7
"CAN","FMLE",4,0,0,20,0,8,0
"CAN","MLE",4,0,0,20,0,8,0
"CHE","BTSX",4,1,7,20,1,8,7
"CHE","FMLE",4,0,0,20,0,8,0
"CHE","MLE",4,0,0,20,0,8,0
"CHL","BTSX",4,1,7,20,1,8,7
"CHL","FMLE",4,0,0,20,0,8,0
"CHL","MLE",4,0,0,20,0,8,0
"CHN","BTSX",4,1,7,20,1,8,7
"CHN","FMLE",4,0,0,20,0,8,0
"CHN","MLE",4,0,0,20,0,8,0
"CIV","BTSX",4,1,7,20,1,8,7
"CIV","FMLE",4,0,0,20,0,8,0
"CIV","MLE",4,0,0,20,0,8,0
"CMR","BTSX",4,1,7,20,1,8,7
"CMR","FMLE",4,0,0,20,0,8,0
"CMR","MLE",4,0,0,20,0,8,0
"COD","BTSX",4,1,7,20,1,8,7
"COD","FMLE",4,0,0,20,0,8,0
"COD","MLE",4,0,0,20,0,8,0
"COG","BTSX",4,1,7,20,1,8,7
"COG","FMLE",4,0,0,20,0,8,0
"COG","MLE",4,0,0,20,0,8,0
"COK","BTSX",0,0,6,0,0,8,6
"COK","FMLE",0,0,0,0,0,8,0
"COK","MLE",0,0,0,0,0,8,0
"COL","BTSX",4,1,7,20,1,8,7
"COL","FMLE",4,0,0,20,0,8,0
"COL","MLE",4,0,0,20,0,8,0
"COM","BTSX",4,1,7,20,1,8,7
"COM","FMLE",4,0,0,20,0,8,0
"COM","MLE",4,0,0,20,0,8,0
"CPV","BTSX",4,1,7,20,1,8,7
