population,short.description,year,group,total,flag_for_publishing,total.low.CI,total.high.CI,male,male_flag_for_publishing,male.low.CI,male.high.CI,female,female_flag_for_publishing,female.low.CI,female.high.CI,estimated.number,estimated.number.low.CI,estimated.number.high.CI
adults,"Excellent, very good or good self-rated health",2021,Total,88.4,,86.9,89.8,88.8,,86.5,90.7,88.1,,86.4,89.6,3674000,3617000,3730000
adults,"Excellent, very good or good self-rated health",2021,15-24,91.3,,87.4,94.2,93.7,,89.6,96.5,88.7,,81.8,93.7,585000,565000,605000
adults,"Excellent, very good or good self-rated health",2021,25-34,88,,84.4,91,88.8,,83.1,93.2,87.1,,82.1,91.2,656000,633000,680000
adults,"Excellent, very good or good self-rated health",2021,35-44,88.9,,85.8,91.6,89.1,,84.5,92.8,88.7,,84.4,92.3,587000,569000,606000
adults,"Excellent, very good or good self-rated health",2021,45-54,87.8,,83.5,91.3,87.7,,81.1,92.7,87.9,,83.5,91.5,571000,547000,595000
adults,"Excellent, very good or good self-rated health",2021,55-64,86.4,,82.9,89.5,86.1,,80.2,90.8,86.8,,82.4,90.4,539000,519000,558000
adults,"Excellent, very good or good self-rated health",2021,65-74,88.6,,85.1,91.6,86.6,,80.2,91.5,90.5,,86.3,93.8,422000,407000,437000
adults,"Excellent, very good or good self-rated health",2021,75+,87.4,,83.6,90.5,87.8,,82.2,92.2,87,,81.4,91.4,314000,302000,325000
adults,"Excellent, very good or good self-rated health",2021,Māori,81.3,,76.8,85.2,81.7,,73.8,88,80.9,,75.7,85.5,494000,469000,520000
adults,"Excellent, very good or good self-rated health",2021,Pacific,83.4,,75.5,89.6,82.9,,70.4,91.6,83.9,,73.6,91.3,228000,209000,246000
adults,"Excellent, very good or good self-rated health",2021,Asian,91.6,,87.9,94.5,90.7,,84.8,94.9,92.6,,87.5,96.1,576000,557000,596000
adults,"Excellent, very good or good self-rated health",2021,European/Other,88.7,,86.9,90.3,89.2,,86.5,91.5,88.2,,86.1,90.1,2786000,2730000,2842000
adults,"Excellent, very good or good self-rated health",2021,Quintile 1,91,,87.6,93.8,93.6,,89.4,96.5,87.9,,82,92.4,742000,711000,773000
adults,"Excellent, very good or good self-rated health",2021,Quintile 2,91.3,,88.3,93.7,89.8,,84.9,93.5,92.8,,89.1,95.5,778000,746000,811000
adults,"Excellent, very good or good self-rated health",2021,Quintile 3,88.6,,84.2,92,86.3,,78.4,92.1,90.6,,86,94.1,739000,700000,778000
adults,"Excellent, very good or good self-rated health",2021,Quintile 4,87.1,,84.3,89.5,88.3,,84.7,91.3,86,,82.7,88.8,730000,705000,756000
adults,"Excellent, very good or good self-rated health",2021,Quintile 5,84,,81.1,86.6,85.1,,80.5,89,82.9,,79,86.4,684000,651000,716000
adults,"Excellent, very good or good self-rated health",2021,Non-disabled,90.8,,89.5,92.1,90.8,,88.6,92.7,90.9,,89.3,92.3,3438000,3372000,3504000
adults,"Excellent, very good or good self-rated health",2021,Disabled,62.6,,57,68,65.9,,57.5,73.6,59.8,,51.9,67.3,226000,195000,258000
